№	Domain	Subdomain	Ambiguity Type	English Context Sentence	Correct Russian Professional Equivalent	Linguistic Disambiguation Explanation
1	Information Security	Pentesting	Metaphor	The team conducted a brute force attack to assess password strength.	Команда провела атаку полного перебора для оценки надежности паролей.	"""Brute force"" is a metaphor denoting a method of solving a problem through exhaustive search, not the application of physical violence."
2	Biology / Medicine	Virology	Polysemy	The study focused on the vector of the Zika virus.	Исследование было сосредоточено на переносчике вируса Зика.	"In biology, a ""vector"" is an organism that transmits a pathogen, not a mathematical vector. The key seme is ""transmission, transfer."""
3	Programming	System Software	Metaphor	A zombie process consumes no CPU but remains in the process table.	Зомби-процесс не потребляет ЦП (CPU), но остается в таблице процессов.	"""Zombie"" refers to a process that has completed execution but has not been ""killed"" by its parent process. The seme is ""non-living, but present."""
4	Astronomy	Cosmology	Metaphor	Scientists observed a white dwarf in a binary system.	Ученые наблюдали белого карлика в двойной системе.	"""White dwarf"" is a stable astronomical term for a class of stars composed of electron-nuclear plasma, lacking sources of thermonuclear energy, and glowing due to their thermal energy."
5	Networking	Wireless Networks	Metaphor	An evil twin attack can steal sensitive user data.	"Атака ""злого двойника"" может украсть конфиденциальные пользовательские данные."	"""Evil twin"" is a type of phishing, an attack using a fake Wi-Fi access point that is indistinguishable from a genuine one."
6	Machine Learning	Model Training	Metaphor / Polysemy	High bias in the model leads to underfitting.	Высокое смещение в модели приводит к недообучению.	"""Bias"" in statistics and machine learning is a systematic error/bias in estimation, not prejudice. The key seme is ""systematic deviation from truth."""
7	Physics	Nuclear Physics	Metaphor	The reactor uses heavy water as a neutron moderator.	В реакторе используется тяжелая вода в качестве замедлителя нейтронов.	"""Heavy"" refers to isotopic composition (deuterium oxide), not density or weight in the everyday sense."
8	Databases	Administration	Metaphor	The deadlock occurred when two transactions held exclusive locks.	Взаимная блокировка произошла, когда две транзакции удерживали исключительные блокировки.	"""Deadlock"" is a state of no progress, not a ""dead lock."" The seme is ""cyclic dependency and waiting."""
9	Medicine	Oncology	Polysemy	The invasive procedure was necessary to obtain a tissue sample.	Для получения образца ткани была необходима инвазивная процедура.	"In medicine, ""invasive"" implies ""penetrating the body's natural barriers,"" not ""aggressive."""
10	Economics / Finance	Investments	Metaphor	The market entered a bear phase with falling prices.	Рынок вошел в медвежью фазу с падающими ценами.	"""Bear"" in a market context refers to a metaphor describing the direction of market movement. Also ""Bull,"" but the connection to animals is conventional."
11	Chemistry	Organic Chemistry	Polysemy	The compound has an aromatic ring in its structure.	В структуре соединения присутствует ароматическое кольцо.	"In chemistry, ""aromatic"" refers to specific properties of cyclicity and electron conjugation, not the presence of a smell."
12	Geology	Seismology	Metaphor	The epicenter of the earthquake was located offshore.	Эпицентр землетрясения был расположен в офшорной зоне.	"""Epicenter"" is the projection of the hypocenter onto the surface. Literally ""above the center,"" which reflects a spatial relationship, a direct meaning."
13	Programming	Web Development	Metaphor	The site uses cookies to store session data.	Сайт использует куки-файлы для хранения данных сессии.	"""Cookie"" is a metaphor from programming folklore — a small set of data that websites store in the browser, not a food product."
